location,sex,age,cause_id,year,val,last_update
Middle SDI,Female,50-54 years,497,2002,4344.309356,12/31/2019
Middle SDI,Male,55-59 years,497,2002,6349.060924,12/31/2019
Middle SDI,Female,55-59 years,497,2002,5044.495595,12/31/2019
Middle SDI,Male,60-64 years,497,2002,6613.740362,12/31/2019
Middle SDI,Female,60-64 years,497,2002,5226.627805,12/31/2019
Middle SDI,Male,65-69 years,497,2002,8657.250313,12/31/2019
Middle SDI,Female,65-69 years,497,2002,7350.648704,12/31/2019
Middle SDI,Male,70-74 years,497,2002,9586.249392,12/31/2019
Middle SDI,Female,70-74 years,497,2002,8986.960135,12/31/2019
Middle SDI,Male,75-79 years,497,2002,8789.073344,12/31/2019
Middle SDI,Female,75-79 years,497,2002,8712.652945,12/31/2019
Middle SDI,Male,80+ years,497,2002,10640.72538,12/31/2019
Middle SDI,Female,80+ years,497,2002,14632.45209,12/31/2019
Middle SDI,Male,15-19 years,498,2002,161.307728,12/31/2019
Middle SDI,Female,15-19 years,498,2002,147.227315,12/31/2019
Middle SDI,Male,20-24 years,498,2002,207.7105062,12/31/2019
Middle SDI,Female,20-24 years,498,2002,223.2093725,12/31/2019
Middle SDI,Male,25-29 years,498,2002,357.7628699,12/31/2019
Middle SDI,Female,25-29 years,498,2002,389.651169,12/31/2019
Middle SDI,Male,30-34 years,498,2002,746.04162,12/31/2019
Middle SDI,Female,30-34 years,498,2002,752.7736851,12/31/2019
Middle SDI,Male,35-39 years,498,2002,1380.430327,12/31/2019
Middle SDI,Female,35-39 years,498,2002,1208.729462,12/31/2019
Middle SDI,Male,40-44 years,498,2002,2320.042191,12/31/2019
Middle SDI,Female,40-44 years,498,2002,1775.748285,12/31/2019
Middle SDI,Male,45-49 years,498,2002,3796.269772,12/31/2019
Middle SDI,Female,45-49 years,498,2002,3026.189631,12/31/2019
Middle SDI,Male,50-54 years,498,2002,5873.252414,12/31/2019
Middle SDI,Female,50-54 years,498,2002,4637.694391,12/31/2019
Middle SDI,Male,55-59 years,498,2002,7409.817924,12/31/2019
Middle SDI,Female,55-59 years,498,2002,6057.001608,12/31/2019
Middle SDI,Male,60-64 years,498,2002,10875.59686,12/31/2019
Middle SDI,Female,60-64 years,498,2002,9379.212949,12/31/2019
Middle SDI,Male,65-69 years,498,2002,14725.92416,12/31/2019
